FileName	CAS	Name	RT	RI	Width	Purity	Model	Min. Abund.	Amount	Scan	Peak Tailing	S/N (total)	Base Peak	Max. Amount	Area	Intgr.Signal	Max. Area	Extra Width	Models	Frac. Good	Expec. RT	RI-RI(lib)	Net	Weighted	Simple	Reverse	Corrections	(m/z)	S/N (m/z)	Area % (m/z)	Conc.	RT-RT(lib)
D:\GETTY\NETCDF\NB2-CENTROID.FIN	97-86-9	? Isobutyl methacrylate	5.6049	1562.6	3.1 scans	86%	69 m/z	1.4%	0.202%	841	2.0	152	70781		1136715	1049771		1-3	17: 69 41 87 56 39 29 55 27 43 57 70 59 88 86 38 26 31	0.982		602.6	73	92	90	93		1344	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	2210-28-8	?? Propyl methacrylate	5.6049	1562.6	3.1 scans	86%	69 m/z	1.4%	0.202%	841	2.0	152	70781		1136715	1049771		1-3	17: 69 41 87 56 39 29 55 27 43 57 70 59 88 86 38 26 31	0.982		678.6	68	88	83	88		1036	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	868-77-9	?? 2-Hydroxyethyl methacrylate	5.6049	1562.6	3.1 scans	86%	69 m/z	1.4%	0.202%	841	2.0	152	70781		1136715	1049771		1-3	17: 69 41 87 56 39 29 55 27 43 57 70 59 88 86 38 26 31	0.982		548.6	61	81	79	81		1160	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	95-65-8	?? Phenol, 3,4-dimethyl-	7.5617	1926.0	2.0 scans	17%	39 m/z	30%	0.00424%	1135	1.0	26	3388		23771	19449		1-1	4: 39 107 122 121	0.709		733.0	63	90	64	89		99	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	BAYER_~2-N1046	? nBA-MMA sesquimer	10.0971	2505.8	2.7 scans	85%	143 m/z	3.5%	0.148%	1515	1.1	145	28876		830069	830069		0-0	20: 143 55 115 129 73 83 56 41 101 59 29 114 100 57 88 43 156 99 27 42	0.979		1079.8	74	94	93	96		1406	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	BAYER_~2-N1048	?? nBA-MMA dimer	10.3504	2571.8	2.8 scans	73%	112 m/z	6.5%	0.0764%	1553	1.1	102	15871		428201	427216		0-1	20: 112 67 95 41 126 127 113 29 141 140 111 155 56 55 57 59 43 168 39 27	0.951		1115.8	63	80	76	90		1399	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	LIQUITEX-N1012	? nBA sesquimer unverified 1	11.8560	2998.3	2.8 scans	73%	115 m/z	2.2%	0.0707%	1779	1.1	100	46386		396558	393975		1-0	19: 115 87 41 29 171 57 86 42 55 43 56 114 142 116 27 39 60 70 45	0.945		1344.3	72	93	89	92		1435	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	6624-57-3	?? Pentanedioic acid, dibutyl ester	11.8560	2998.3	2.8 scans	73%	115 m/z	2.2%	0.0707%	1779	1.1	100	46386		396558	393975		1-0	19: 115 87 41 29 171 57 86 42 55 43 56 114 142 116 27 39 60 70 45	0.945			65	76	60	77		1673	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	23720-21-0	?? nBA dimer	12.1986	3104.7	2.7 scans	76%	127 m/z	2.2%	0.125%	1831	1.1	130	46837		700976	699357		0-1	19: 127 98 126 99 41 29 57 54 56 183 55 53 81 109 43 100 128 82 182	0.966		1405.7	65	83	72	89		1385	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	VANMEE~1-N1008	? Bisphenol-A, dimethoxy (tmah)	14.6100	3869.1	3.0 scans	69%	241 m/z	1.5%	0.0900%	2192	0.9	107	64964		504825	493067		1-0	19: 241 242 133 256 77 165 149 211 121 226 183 152 91 153 257 15 134 166 243	0.905		1793.1	75	96	86	96		1277	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	1568-83-8	? Bisphenol A dimethyl ether	14.6100	3869.1	3.0 scans	69%	241 m/z	1.5%	0.0900%	2192	0.9	107	64964		504825	493067		1-0	19: 241 242 133 256 77 165 149 211 121 226 183 152 91 153 257 15 134 166 243	0.905		1758.1	70	91	78	91		634	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	LIQUITEX-N1006	? nBA-nBA-MMA trimer 1	14.8026	3913.9	2.7 scans	91%	195 m/z	1.5%	0.490%	2221	1.0	261	67128		2746887	2646078		1-2	20: 195 41 93 194 29 139 57 138 120 167 250 148 55 166 56 196 95 149 121 98	0.990		1826.9	73	92	92	92		1470	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	LIQUITEX-N1008	? nBA-nBA-MMA trimer 2	14.8026	3913.9	2.7 scans	91%	195 m/z	1.5%	0.490%	2221	1.0	261	67128		2746887	2646078		1-2	20: 195 41 93 194 29 139 57 138 120 167 250 148 55 166 56 196 95 149 121 98	0.990		1801.9	70	89	90	91		1471	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	LIQUITEX-N1008	? nBA-nBA-MMA trimer 2	14.9626	3947.6	2.8 scans	92%	195 m/z	1.5%	0.515%	2245	1.0	257	68602		2887534	2707552		1-5	20: 195 194 41 93 29 139 57 250 138 148 167 120 55 166 56 121 43 111 95 196	0.984		1835.6	71	91	91	92		1471	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	LIQUITEX-N1006	?? nBA-nBA-MMA trimer 1	14.9626	3947.6	2.8 scans	92%	195 m/z	1.5%	0.515%	2245	1.0	257	68602		2887534	2707552		1-5	20: 195 194 41 93 29 139 57 250 138 148 167 120 55 166 56 121 43 111 95 196	0.984		1860.6	68	88	90	87		1470	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	LIQUITEX-N1010	? nBA-nBA-MMA trimer 3	15.5078	4062.4	2.7 scans	90%	149 m/z	2.6%	0.404%	2327	1.1	240	38575		2267614	2210487		1-0	20: 149 29 41 148 127 121 228 57 167 139 93 141 181 55 99 153 120 195 166 111	0.982		1852.4	70	90	91	91		1472	0.0	0.000		
D:\GETTY\NETCDF\NB2-CENTROID.FIN	BA-MMA~1-N1002	? nBA trimer	16.2603	4220.9	2.6 scans	93%	181 m/z	0.82%	0.713%	2440	1.0	329	125614		3997725	3631780		1-1	20: 181 134 41 29 180 57 236 153 152 55 135 124 125 56 79 255 81 199 182 208	0.997		1872.9	73	92	77	94		1224	0.0	0.000		
